Point Mass X,Point Mass Y,Fixed Point 1 X,Fixed Point 1 Y,Fixed Point 2 X,Fixed Point 2 Y,Fixed Point 3 X,Fixed Point 3 Y,Convergence Point,Convergence Time
17,22,22,12,17,74,63,52,0,0.0620882511138916
69,16,53,55,95,19,33,27,1,0.37769579887390137
71,23,79,72,93,67,24,23,1,0.865908145904541
29,79,2,8,80,85,30,45,0,0.8725404739379883
60,13,7,32,58,33,23,28,1,0.28739380836486816
91,48,52,3,64,46,77,17,0,0.3677246570587158
79,82,51,63,79,51,91,99,2,0.23945283889770508
86,42,70,68,58,79,74,54,2,0.07254385948181152
80,38,66,94,87,48,57,57,1,0.16910910606384277
2,8,69,68,35,5,94,70,2,1.264793872833252
71,47,36,8,35,12,59,73,2,0.7053136825561523
34,30,20,15,34,12,98,15,1,0.22555875778198242
43,55,27,63,66,25,77,64,0,0.13183259963989258
26,83,94,86,45,37,14,12,1,0.768254280090332
42,58,79,24,39,94,80,77,2,1.6281898021697998
86,47,17,39,11,24,70,60,2,0.1085977554321289
33,42,51,97,8,32,23,38,2,0.048142194747924805
19,18,0,75,85,41,64,92,0,1.8357219696044922
67,38,21,14,49,48,69,98,1,0.1047508716583252
28,74,86,74,32,73,81,15,1,0.017058610916137695
35,37,68,14,34,69,86,59,2,0.5138442516326904
20,82,62,60,75,58,2,36,0,1.3639066219329834
69,90,90,6,89,97,95,83,2,1.1435213088989258
91,34,81,74,85,54,75,26,2,0.49889397621154785
39,74,35,40,77,42,13,53,1,0.8747072219848633
34,39,87,56,5,52,65,71,1,0.4817659854888916
15,100,36,78,24,98,93,14,1,0.04115700721740723
30,25,72,29,83,77,0,54,1,8.637039422988892
27,61,48,59,49,55,24,92,0,0.08868741989135742
64,59,3,33,77,41,47,96,1,0.14961624145507812
36,59,30,77,43,15,28,27,0,0.15398859977722168
44,18,1,67,60,43,56,82,2,0.4708554744720459
23,81,41,81,64,19,95,27,0,0.09153604507446289
41,35,73,21,60,60,2,76,0,0.6862635612487793
59,30,31,39,77,48,13,55,0,1.110865592956543
76,88,68,77,15,100,32,19,0,0.0661916732788086
34,35,8,11,16,64,40,48,2,0.18180203437805176
74,8,60,69,55,23,74,18,2,0.044512033462524414
96,90,20,55,6,77,85,78,2,0.08095407485961914
85,66,57,57,8,47,72,80,2,0.25769805908203125
27,49,33,44,99,74,58,56,0,0.03500843048095703
25,18,82,51,60,48,45,7,2,0.3176734447479248
60,25,28,71,0,51,8,28,1,0.28272485733032227
39,42,89,48,84,11,73,4,2,1.2084081172943115
43,28,88,20,13,45,49,85,2,1.5155589580535889
46,28,48,35,77,32,28,45,0,0.03268551826477051
52,14,73,84,80,25,13,63,0,1.779541254043579
97,72,54,51,15,22,1,6,0,0.27321600914001465
27,22,48,11,94,71,50,35,0,0.5936481952667236
54,98,7,15,29,51,1,84,1,1.2578809261322021
76,84,57,7,21,7,97,4,0,1.0227243900299072
55,13,39,42,68,65,23,2,0,7.878755331039429
81,99,32,95,79,92,20,88,1,0.033128976821899414
16,93,27,20,52,34,23,16,0,2.8765718936920166
46,67,63,61,37,71,53,14,1,0.061040639877319336
93,63,88,52,43,71,47,53,0,0.05753326416015625
89,81,43,14,84,87,8,81,1,0.03603529930114746
18,70,23,61,72,76,81,73,0,0.047057390213012695
68,76,9,85,72,19,21,55,0,1.494847059249878
17,77,82,17,36,97,3,93,1,0.671654224395752
79,0,9,48,30,90,92,16,2,0.11000800132751465
2,10,67,78,97,46,1,84,1,1.0529136657714844
91,71,15,80,32,89,62,99,1,0.9296658039093018
59,7,60,63,29,6,63,46,2,0.5000736713409424
65,51,56,82,79,69,53,43,2,0.29721903800964355
73,25,8,35,81,76,16,95,2,2.212210178375244
87,67,90,30,7,14,59,41,1,1.037796974182129
24,40,24,73,27,64,53,56,1,0.28212571144104004
77,42,6,8,0,57,26,6,0,1.9583909511566162
77,93,65,73,15,17,9,95,0,0.11974120140075684
4,55,5,62,35,100,6,30,0,0.03461718559265137
56,58,65,66,50,73,100,62,1,0.21060609817504883
7,28,81,51,93,50,38,0,2,0.6009721755981445
59,55,59,46,39,12,99,29,0,0.038641929626464844
11,75,91,25,69,84,66,63,2,0.7767758369445801
90,17,5,90,39,18,33,90,1,9.852654457092285
29,99,40,21,73,11,21,72,2,0.14649701118469238
73,49,15,94,82,95,26,60,2,0.6499350070953369
33,22,97,88,71,3,32,77,0,2.0149166584014893
45,94,91,3,33,31,55,81,2,0.07861995697021484
1,35,54,84,7,57,42,61,2,1.5140140056610107
66,94,3,24,98,24,90,77,1,1.6311230659484863
24,93,47,82,2,85,92,41,1,0.6426854133605957
1,60,48,68,48,58,98,88,0,1.292004108428955
